City,Temperature,Humidity,Clouds,Windspeed,Latitude
Inuvik,1.0,64,75,3.6,68.36
Namibe,22.93,76,39,4.25,-15.19
Calbuco,10.0,87,90,1.0,-41.77
Zemaiciu Naumiestis,6.88,75,40,2.96,55.36
San Policarpo,27.72,71,62,4.54,12.18
Janauba,24.64,96,100,1.42,-1.63
Ouallam,30.69,7,0,2.4,14.32
Larsnes,8.67,93,96,6.2,62.2
Bahraich,25.65,33,0,0.91,27.58
Solnechnyy,4.29,70,100,2.08,50.72
Dondaicha,28.93,24,0,5.06,21.33
Broome,7.99,87,0,0.5,52.47
Bijawar,26.04,27,0,0.62,24.62
Fernandez,29.02,67,59,2.36,11.38
Gwadar,26.73,77,0,5.39,25.12
Araouane,30.25,14,0,4.97,18.9
Roura,27.0,78,20,4.6,4.73
Pravia,12.29,100,90,1.5,43.49
Hervey Bay,24.0,73,75,10.8,-25.3
Matagami,25.8,46,64,0.95,9.67
Abu Kamal,17.77,40,100,3.99,34.45
Bom Jesus,23.73,94,100,1.22,-5.99
Esterhazy,14.93,24,98,4.73,50.65
Salmo,10.74,38,30,2.29,49.19
Tres Arroyos,10.44,84,0,0.56,-38.38
Beaver Falls,24.12,50,1,3.6,44.58
Scarborough,9.44,87,31,1.5,54.28
Melfi,6.64,80,89,0.69,41.0
Husavik,14.14,40,90,3.13,50.56
Ostrovnoy,2.52,98,100,6.32,68.05
Aqtobe,-4.0,62,0,1.0,50.28
Bend,10.67,81,75,2.6,44.06
Tautira,30.48,66,40,6.2,-17.73
Fergus Falls,19.37,55,1,3.1,46.28
Humberto de Campos,26.32,88,98,2.91,-2.6
Simao,19.02,42,0,0.64,22.76
Portree,8.89,96,100,0.45,57.41
Yakeshi,2.32,18,0,5.42,49.28
Joshimath,6.11,35,69,2.66,30.57
Ishigaki,25.0,83,75,0.5,24.34
Kota Tinggi,26.77,94,75,1.17,1.73
Kumluca,-3.29,79,16,4.52,36.37
Rosarito,21.99,100,75,1.5,4.91
Carutapera,25.33,92,100,2.58,-1.2
Labuhan,25.15,90,85,0.07,-2.54
Havelock,17.33,72,75,6.7,34.88
Hargeysa,20.97,75,4,3.44,9.56
Ust-Nera,-2.74,83,86,2.35,64.57
Quatre Cocos,25.78,83,75,6.7,-20.21
Weligama,29.17,76,100,5.69,5.97
Bukoba,17.96,88,76,1.83,-1.33
Torbat-e Jam,8.86,80,56,5.9,35.24
Saraland,17.58,31,1,1.5,30.82
Santander,30.0,70,20,4.1,9.42
Petropavlovsk-Kamchatskiy,5.0,52,0,1.0,53.05
Talnakh,-24.0,76,0,3.0,69.49
Evanston,14.45,20,1,2.42,42.04
West Fargo,15.75,67,1,7.2,46.88
Aginskoye,0.94,23,0,0.63,51.11
Kanniyakumari,29.41,71,100,3.19,8.08
Kandi,34.94,27,63,2.82,11.13
Hobyo,28.41,75,76,5.27,5.35
Mitry-Mory,13.8,62,0,5.1,48.98
Lashio,23.11,38,8,0.45,22.93
Mangai,22.4,94,99,1.31,-4.07
Sambava,20.89,97,41,1.55,-14.27
Piterka,5.44,45,0,1.94,50.68
Popondetta,27.28,61,63,1.64,-8.77
Lazaro Cardenas,32.1,8,40,2.6,28.39
Bogovarovo,1.31,92,1,0.82,58.98
Yichun,6.08,22,0,3.71,47.72
Rodrigues Alves,25.0,94,0,0.59,-7.74
Nabire,24.9,93,100,0.35,-3.36
Roebourne,22.86,21,98,10.17,-20.77
Evensk,0.49,79,99,1.76,61.92
Kaabong,21.15,61,56,1.44,3.51
Escuintla,25.46,70,5,2.1,14.29
Cefalu,14.34,46,100,1.79,38.04
Saint-Augustin,13.44,76,0,2.1,44.83
Moa,21.58,90,100,0.7,20.66
Belvedere Park,13.12,87,90,2.77,32.46
Hovd,8.68,76,0,2.6,63.83
